
 
Strategy strategy report for EUR/USD instrument(s) from 2025-10-05 21:00:00 to 2025-10-12 20:59:59
Account Currency	EUR
Initial Equity	10’000
Final Equity	4’766.2
Turnover	251’583’937.39
Commission Fees	5267.46

Instrument EUR/USD

First tick time	2025-10-05 21:00:00
First BID	1.17382
First ASK	1.17458
Last tick time	2025-10-10 20:59:59
Last BID	1.16149
Last ASK	1.162
Positions total	383
Closed positions	375
Orders total	1470
Amount bought	125.26
Amount sold	125.08
Turnover	251’583’937.39
Commission Fees	5261.66

Opened orders:

Label	Amount	Direction	Open price	Profit/Loss at the end	Profit/Loss at the end in pips	Open date	Comment
2025-10-06 22:30:00	Order canceled	Order [random_order_314, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:34:00	Order submitted	Order [random_order_315, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:34:00	Order canceled	Order [random_order_315, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:35:00	Order submitted	Order [random_order_316, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:35:00	Order canceled	Order [random_order_316, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:45:00	Order submitted	Order [random_order_317, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:45:00	Order canceled	Order [random_order_317, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:46:00	Order submitted	Order [random_order_318, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:46:00	Order canceled	Order [random_order_318, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:49:00	Order submitted	Order [random_order_319, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:49:00	Order canceled	Order [random_order_319, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:54:00	Order submitted	Order [random_order_320, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:54:00	Order canceled	Order [random_order_320, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:56:00	Order submitted	Order [random_order_321, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:56:00	Order canceled	Order [random_order_321, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 22:59:00	Order submitted	Order [random_order_322, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 22:59:00	Order canceled	Order [random_order_322, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:03:00	Order submitted	Order [random_order_323, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:03:00	Order canceled	Order [random_order_323, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:07:00	Order submitted	Order [random_order_324, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:07:00	Order canceled	Order [random_order_324, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:16:00	Order submitted	Order [random_order_325, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:16:00	Order canceled	Order [random_order_325, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:19:00	Order submitted	Order [random_order_326, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:19:00	Order canceled	Order [random_order_326, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:27:00	Order submitted	Order [random_order_327, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:27:00	Order canceled	Order [random_order_327, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:29:00	Order submitted	Order [random_order_328, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:29:00	Order canceled	Order [random_order_328, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:30:00	Order submitted	Order [random_order_329, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:30:00	Order canceled	Order [random_order_329, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:42:00	Order submitted	Order [random_order_330, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:42:00	Order canceled	Order [random_order_330, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:44:00	Order submitted	Order [random_order_331, EUR/USD, BUY, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:44:00	Order filled	Order [random_order_331, EUR/USD, BUY, 1000000.0 at 1.17127] filled
2025-10-06 23:47:00	Order submitted	Order [random_order_332, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:47:00	Order filled	Order [random_order_332, EUR/USD, SELL, 976832.0 at 1.17131] filled
2025-10-06 23:48:00	Order submitted	Order [random_order_333, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:48:00	Order canceled	Order [random_order_333, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:52:00	Order submitted	Order [random_order_334, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:52:00	Order canceled	Order [random_order_334, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 23:53:00	Order submitted	Order [random_order_335, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 23:53:00	Order filled	Order [random_order_335, EUR/USD, SELL, 5748.0 at 1.17105] filled
2025-10-07 00:03:00	Order submitted	Order [random_order_336, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:03:00	Order filled	Order [random_order_336, EUR/USD, SELL, 23169.0 at 1.17064] filled
2025-10-07 00:07:00	Order submitted	Order [random_order_337, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:07:00	Order canceled	Order [random_order_337, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:09:00	Order submitted	Order [random_order_338, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:09:00	Order canceled	Order [random_order_338, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:10:00	Order submitted	Order [random_order_339, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:10:00	Order canceled	Order [random_order_339, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:11:00	Order submitted	Order [random_order_340, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:11:00	Order canceled	Order [random_order_340, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:12:00	Order submitted	Order [random_order_341, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:12:00	Order canceled	Order [random_order_341, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:30:00	Order submitted	Order [random_order_342, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:30:00	Order canceled	Order [random_order_342, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:32:00	Order submitted	Order [random_order_343, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:32:00	Order canceled	Order [random_order_343, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:42:00	Order submitted	Order [random_order_344, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:42:00	Order filled	Order [random_order_344, EUR/USD, SELL, 7147.0 at 1.17057] filled
2025-10-07 00:44:00	Order submitted	Order [random_order_345, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:44:00	Order canceled	Order [random_order_345, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:47:00	Order submitted	Order [random_order_346, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:47:00	Order canceled	Order [random_order_346, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:50:00	Order submitted	Order [random_order_347, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:50:00	Order canceled	Order [random_order_347, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:52:00	Order submitted	Order [random_order_348, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:52:00	Order canceled	Order [random_order_348, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:53:00	Order submitted	Order [random_order_349, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:53:00	Order canceled	Order [random_order_349, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:58:00	Order submitted	Order [random_order_350, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:58:00	Order canceled	Order [random_order_350, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 00:59:00	Order submitted	Order [random_order_351, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 00:59:00	Order canceled	Order [random_order_351, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 01:01:00	Order submitted	Order [random_order_352, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 01:01:00	Order canceled	Order [random_order_352, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 01:02:00	Order submitted	Order [random_order_353, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 01:02:00	Order canceled	Order [random_order_353, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 01:03:00	Order submitted	Order [random_order_354, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-07 01:03:00	Order canceled	Order [random_order_354, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-07 01:06:02	Position closed	Position [random_order_281, EUR/USD, BUY, 4710.0 at 1.1714245] closed by stop loss event, amount 4710.0 at 1.17033
2025-10-07 01:06:06	Position closed	Position [random_order_281, EUR/USD, BUY, 3142.0 at 1.1714245] closed by stop loss event, amount 3142.0 at 1.17033
2025-10-07 01:06:29	Position closed	Position [random_order_281, EUR/USD, BUY, 8859.0 at 1.1714245] closed by stop loss event, amount 8859.0 at 1.17034
2025-10-07 01:06:41	Position closed	Position [random_order_281, EUR/USD, BUY, 1186.0 at 1.1714245] closed by stop loss event, amount 1186.0 at 1.17032
2025-10-07 01:06:41	Position closed	Position [random_order_281, EUR/USD, BUY, 604.0 at 1.1714245] closed by stop loss event, amount 604.0 at 1.17031
